activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0,0.003524,-0.159319,-0.265769,0.186194,1.059439,-0.586002
0,0.088984,0.022447,0.414995,0.217896,0.75452,-0.325601
0,-0.060065,0.567986,-0.417244,-0.090695,1.032233,-0.561896
0,0.148962,-0.72651,-0.142228,0.163022,0.810526,-0.4414
0,-0.171204,-0.130347,0.051768,-0.111423,0.850702,-0.219904
0,0.470343,0.448941,0.156701,-0.074515,0.895059,-0.571802
0,-0.317975,-0.054107,-0.002777,-0.13237,0.996625,-0.662656
0,0.120489,0.044151,-0.083378,-0.082657,0.944513,-0.548129
0,0.060132,-0.907098,-0.27129,0.216104,0.760953,-0.27066
0,0.024004,0.248056,0.099842,-0.231567,1.028827,-0.685672
0,-0.260292,0.589408,-0.027805,0.041934,0.997412,-0.360547
0,0.191667,-0.165363,-0.009812,-0.170784,0.970899,-0.629491
0,-0.122086,-0.741065,-0.295834,-0.13175,0.956879,-0.450012
0,-0.262271,0.121284,0.145555,-0.005521,0.999639,-0.521764
0,-0.206146,-0.713266,0.581551,0.123721,0.876065,-0.521829
0,-0.205453,-0.156251,0.253614,0.026242,0.850711,-0.420428
0,0.377534,0.783406,-0.051145,-0.162823,1.12103,-0.494794
0,-0.076813,-0.01026,0.768002,-0.147372,1.188098,-0.477145
0,0.239277,0.011267,-0.092139,-0.039636,1.03353,-0.389233
0,-0.148466,0.105021,0.123491,0.27681,0.773251,-0.752161
0,0.08207,-0.163558,-0.300958,0.294812,1.138116,-0.781482
0,-0.277187,-0.315217,-0.268306,0.051755,0.978848,-0.575439
0,0.008163,0.198297,0.350503,0.081851,0.811331,-0.419812
0,0.312168,-0.241212,-0.148113,0.214505,0.723254,-0.380606
0,-0.25697,0.195609,0.121257,0.00488,0.927426,-0.425464
0,0.581088,0.599977,0.206965,0.043518,0.757587,-0.431934
0,-0.491239,-0.660953,-0.228703,0.071759,0.856543,-0.369406
0,0.098293,-0.148649,0.23836,-0.175858,1.047293,-0.371106
0,0.24211,-0.597628,0.108324,-0.03056,0.871033,-0.382892
0,-0.024215,0.251995,0.40899,0.033423,1.006833,-0.71546
0,0.509581,0.859932,0.244851,-0.024937,0.74062,-0.246994
0,-0.45278,-0.664953,-0.491356,0.321011,0.747754,-0.437305
0,0.284766,0.61151,0.066828,0.27312,0.68544,-0.447394
0,-0.410534,-0.69038,-0.365176,0.263895,0.795206,-0.423978
0,0.157094,-0.034209,0.206568,-0.238913,1.008878,-0.540701
0,0.004778,-0.569963,-0.191745,-0.279401,1.05918,-0.403787
0,0.051974,0.604781,0.474101,0.124689,1.004071,-0.331689
0,0.050143,1.026275,-0.094869,-0.047653,1.120938,-0.523666
0,0.058295,0.527892,-0.588134,0.036078,0.992084,-0.634277
0,-0.268322,0.341612,-0.786063,-0.056885,0.836386,-0.340994
0,-0.057028,-0.07844,0.390779,0.113281,1.097949,-0.726865
0,0.112922,0.183708,-0.494788,0.078137,0.706204,-0.316464
0,-0.01922,-0.388346,-0.349289,0.092816,0.740256,-0.438193
0,-0.288087,-0.24751,-0.226986,0.191229,0.846881,-0.206805
0,-0.033286,-1.564426,-0.287464,0.082184,0.937778,-0.331195
0,-0.32564,0.44991,-0.543457,-0.142218,0.975781,-0.720685
0,0.205561,-0.324965,-0.508591,-0.198953,0.86131,-0.541852
0,-0.162231,0.693597,0.099959,-0.145956,0.804089,-0.535147
0,0.175275,0.415508,0.120739,-0.109311,1.006955,-0.452567
0,-0.052952,-0.679861,1.607043,0.227188,0.921515,-0.554834
0,0.192269,-0.890511,-0.21797,0.250519,0.74072,-0.282571
0,-0.21842,-0.60828,0.007736,-0.221005,0.838306,-0.388953
0,-0.150548,-0.558609,-0.253634,0.0897,0.931107,-0.638184
0,-0.053326,0.182223,0.517933,0.127628,0.914104,-0.726917
0,0.684681,-0.046171,-0.371706,-0.325488,1.049296,-0.533813
0,-0.13397,-0.832034,-0.150451,0.150845,0.779245,-0.376419
0,-0.089588,0.256749,0.15441,0.015147,0.889267,-0.490532
0,-0.781332,0.792329,0.211719,-0.03125,0.763242,-0.417065
0,0.225601,-0.338676,-0.394493,0.024142,0.965726,-0.510651
0,-0.019678,-0.156862,0.101911,0.117676,0.702203,-0.283011
0,0.608812,0.144978,0.187947,0.286429,0.765497,-0.307861
0,-0.138142,-0.613579,-0.759828,-0.154013,1.111185,-0.532867
0,0.098966,0.084315,0.387323,-0.048001,0.896341,-0.416116
0,-0.044163,0.226046,-0.329418,0.066617,1.017804,-0.676099
0,-0.221877,0.251351,-0.226419,0.03746,0.93775,-0.59855
0,-0.077786,-0.333692,-0.032618,0.064445,0.822868,-0.523968
0,-0.400682,0.603393,-0.00547,0.154779,0.608081,-0.343707
0,0.246957,-1.032353,0.066767,0.183646,0.664062,-0.327719
0,-0.265598,0.168808,0.006792,0.0689,0.880203,-0.49502
0,0.666158,-0.292475,-0.121091,-0.28959,1.12182,-0.575269
0,-0.132515,0.4772,-0.090187,0.175378,0.94942,-0.512479
0,-0.132841,-0.747077,-0.005947,0.206149,1.0625,-0.69924
0,0.417901,0.218735,-0.075275,0.18414,0.787781,-0.402411
0,-0.214235,-0.381115,0.058554,0.33555,1.039096,-0.482419
0,0.330458,0.773345,0.140384,-0.148859,1.070398,-0.441989
0,-0.445334,-0.499748,-0.654624,-0.167563,1.126215,-0.456116
0,-0.09266,1.649743,0.537783,-0.038123,0.855368,-0.497778
0,-0.184883,-0.379831,0.062341,0.025412,0.953372,-0.573587
0,-0.317825,0.288874,0.413077,-0.031113,1.00416,-0.769125
0,0.973932,0.730203,0.333743,0.069312,0.638507,-0.547736
0,-0.288006,-0.212367,-0.217632,0.047729,0.657367,-0.391849
0,0.581315,0.873734,0.682166,0.502286,0.993661,-0.52774
0,0.037304,-0.442154,-0.380087,-0.132285,0.973193,-0.404343
0,0.12723,0.326958,0.619023,-0.30618,0.892505,-0.346237
0,0.558883,-0.229181,-0.114836,0.008301,1.013351,-0.670392
0,-0.441589,-0.385504,-0.434038,-0.043005,0.858334,-0.597275
0,-0.023177,-0.716553,-0.139705,0.15629,0.580432,-0.522256
0,-0.475463,0.287967,-0.298859,0.022583,0.801971,-0.392407
0,-0.742094,0.860038,0.137922,-0.338528,0.597893,-0.520222
0,0.099057,-0.120484,0.422518,-0.801288,-0.682596,0.053732
0,-0.030011,-0.180814,0.041342,-0.832196,-0.62486,0.085608
0,0.195449,0.12955,0.065265,-0.67489,-0.725876,0.129385
0,-0.188443,-0.048743,0.014896,-0.602257,-0.736387,0.099988
0,-0.346387,0.59514,0.239592,-0.522104,-0.708795,0.108951
0,-0.69842,-0.648492,0.013047,-0.79429,-0.574268,0.311798
0,-0.400947,-0.776891,-0.013307,-0.919467,-0.461655,0.058069
0,0.216196,0.565443,0.08403,-0.734379,-0.656082,-0.133743
1,1.144603,-0.82503,-0.705525,-1.268365,0.159021,-0.199655
1,2.294975,0.373445,0.15822,0.253998,1.446017,-0.156665
1,-0.842604,0.570053,0.244966,0.179547,0.791266,-0.019406
1,-0.839271,-0.1652,0.459755,-0.633429,0.163797,-0.199536
1,5.057603,-0.898895,-0.404823,-0.009512,0.729327,-1.076953
1,0.516991,0.526568,0.194135,0.176074,0.910492,0.407047
1,0.626267,0.113573,0.477572,-0.177014,1.211496,0.258823
1,-1.823224,-1.199964,2.203785,-0.51984,1.161987,0.408672
1,1.484745,1.086316,0.914572,-1.721347,2.400143,2.888461
1,-1.086854,-1.225622,0.864424,0.309241,0.589273,0.743097
1,1.72819,4.253083,-1.155873,2.048547,3.458612,-0.650137
1,-1.694059,1.609036,-1.147941,-0.185309,1.03309,1.667648
1,0.979789,0.161449,0.575324,0.383978,1.230829,0.988486
1,-0.978384,-1.773482,-2.250215,2.605493,1.958105,-0.344809
1,-0.434722,2.937668,1.259066,0.202042,1.090875,1.381927
1,-2.093612,3.104088,-0.108299,0.823627,1.700049,1.009924
1,-0.16995,-1.472597,-0.256622,0.035431,1.994897,0.777109
1,2.457721,-7.048852,-3.311621,0.545172,3.121451,2.34837
1,-1.035067,0.667257,-0.707077,-1.04169,1.865128,1.145267
1,-1.312619,4.270558,1.414236,-0.18428,0.729962,0.873569
1,-1.819171,1.825115,0.079985,-0.120673,0.527255,0.524713
1,-0.916505,2.398444,-0.098168,0.105353,1.419943,0.647021
1,1.122993,-2.671096,1.132606,-0.265256,2.14342,1.729202
1,-1.31695,-1.76373,-1.249708,-0.251785,0.876328,-0.265936
1,-0.159324,-2.009197,-3.496994,0.144501,0.81275,1.246661
1,2.593687,-3.636743,-2.979261,0.822052,1.204395,-0.236877
1,-0.423874,-1.892088,-3.361897,-0.307303,1.550034,1.097684
1,0.08894,-0.151156,-1.996147,0.655319,1.659192,0.363251
1,0.324286,-1.968013,1.079116,-0.615054,1.039087,0.536642
1,-0.380484,0.640546,-0.275167,-0.370154,1.739642,0.93522
1,-0.850872,2.566297,0.058657,0.399423,1.362637,0.306424
1,-1.187731,1.561287,-0.58584,0.634409,1.049268,-0.107352
1,-0.603475,4.247562,1.326482,-0.330115,2.329626,1.311005
1,0.720384,0.540467,1.6156,1.447365,0.87542,0.865429
1,1.408334,-3.077434,0.354512,-0.407687,1.464023,0.288083
1,-1.042255,2.954927,0.610348,0.7508,1.390161,-0.413385
1,-1.178857,-0.587239,-0.9283,-0.488843,1.477957,0.287985
1,-0.599972,3.83314,1.098123,-0.297009,1.21777,1.038696
1,0.995856,-2.817027,-1.190371,0.58316,2.413248,1.381769
1,-0.828735,0.62052,0.135716,-0.220392,2.009155,-0.146481
1,-0.714143,-0.032185,-1.582926,0.393216,0.063062,-0.520767
1,-0.6761,1.60443,-0.763795,-0.532614,2.711813,1.539975
1,0.709103,-0.825976,-0.568684,0.115887,1.27608,0.663367
1,0.182598,-3.005028,-2.359567,0.172049,1.535712,0.545551
1,0.31011,1.196805,1.009193,-0.013507,1.319556,0.024045
1,-0.758951,-0.846024,-1.117386,-0.371365,0.622183,0.083939
1,0.388781,3.575446,1.360945,-0.468832,2.839417,1.479037
1,-0.21791,0.105427,1.103413,0.756421,0.687234,0.915726
1,0.680065,1.258615,1.475101,0.158017,2.131958,0.63472
1,-1.557589,0.595752,-0.376207,1.170432,0.795303,-0.633481
1,-0.124469,-0.412641,-0.988218,-1.027017,0.801889,0.253506
1,3.088491,-1.94231,0.288027,-0.219864,1.842249,1.49249
1,-0.318057,-0.978542,-1.775443,0.979486,1.640512,0.81658
1,-1.644601,-0.682677,0.331968,-0.412482,1.305246,0.204001
1,-0.181794,4.306888,0.827605,-0.940295,0.556271,0.888403
1,-1.282331,-0.136152,-1.054892,0.10737,1.439291,0.392572
1,-0.407631,0.376091,0.681115,0.664056,1.763898,1.180426
1,1.047873,0.908755,4.202112,0.901709,0.933823,0.552246
1,2.458857,-3.41887,0.596518,-0.126721,1.067679,0.597433
1,-0.816102,0.234744,-2.481576,0.777824,2.350567,1.547138
1,-0.246357,0.618984,1.418817,-0.86322,1.012241,0.447983
1,-0.244971,1.962564,-0.969784,1.288971,0.500659,-0.511963
1,-0.420984,-0.657073,0.845141,-0.794043,1.225107,0.527628
1,0.060009,-4.896069,-1.663941,-0.283911,1.830734,0.636603
1,0.126152,-1.973453,-1.364564,0.448834,1.281186,0.497598
1,-1.220378,1.901409,0.524269,-0.137881,1.415967,-0.367697
1,-1.951222,1.691042,-1.340454,-0.286938,2.352823,0.889322
