activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
0,-0.045941,-0.090823,-0.959268,-0.035937,-0.268673,-0.084709
0,0.160049,-0.157513,-1.115051,0.601376,0.471859,-0.988585
0,0.023745,-0.383614,-0.890996,0.285325,0.027605,0.224852
0,-0.061237,-0.446188,-0.91077,-0.091699,-0.080662,0.043992
0,-0.048224,-0.491284,-0.956824,-0.09283,0.12176,-0.120029
1,0.024664,-0.170532,-0.986945,0.092694,0.03953,-0.174483
1,0.103137,-0.332117,-0.919116,0.100788,0.026891,0.094166
1,-0.147882,-0.643417,-0.640866,0.357168,-1.61413,-0.51133
1,-0.69895,-0.084985,-0.111755,0.6352,0.230169,0.868539
1,-1.204755,0.509543,0.278091,-0.909834,1.072883,-0.428971
1,-0.920128,0.221697,-0.000961,0.228032,0.00482,0.111021
1,0.088219,0.060696,-0.350513,0.599322,-1.21303,0.308386
1,1.831677,-1.0181,-1.002612,0.049716,-2.064606,1.064334
1,1.118481,-0.451382,-0.713556,0.023203,-0.255845,-0.696829
1,0.452249,-0.323022,-0.353262,0.233296,0.40093,-0.335382
1,0.381573,-0.326602,-0.389569,-0.250143,1.007869,0.866704
1,0.284322,0.067947,-0.222562,-0.10855,0.811854,0.033611
1,0.831668,-0.362039,-0.519528,-0.056715,0.732282,-0.88959
1,1.12868,-0.72326,-0.561594,0.210458,-0.72494,-0.317817
1,1.43046,-0.451431,-0.757657,-0.023915,0.008837,0.986292
1,2.192408,-1.612473,-0.683591,0.856948,0.179943,0.09905
1,0.09631,-1.309882,0.078845,0.21195,0.865744,-1.698823
1,0.354514,-2.392377,0.205872,0.224049,0.161342,1.488236
1,1.129291,-1.347897,-0.184253,0.83878,-0.813643,0.364324
1,0.473953,-0.773285,-0.153574,0.083166,-1.703025,-0.32576
1,-0.606411,-1.284431,0.299309,0.917728,-0.346111,-0.599406
1,2.274402,-2.987708,-0.42804,0.759107,-0.437608,-0.897929
1,0.608505,-1.871005,-0.057416,1.207662,0.288458,0.248621
1,3.207756,-1.461182,0.06424,0.186754,-0.100626,-1.060409
1,0.87233,-2.313055,0.236948,0.110659,-1.169761,-0.034364
1,1.206744,-0.938879,-0.285007,0.518593,0.305401,1.396846
1,1.759216,-2.416462,-0.220901,0.980386,-1.044449,-1.830568
1,2.119138,-1.813162,-0.813931,0.802743,-0.073082,1.578189
1,0.962411,-0.982373,-0.284552,-0.390388,0.003821,-0.33869
1,1.098866,-1.462784,-0.15229,0.230591,0.876373,-0.740536
1,0.539654,0.097347,-0.008274,-0.183666,1.069694,-1.319528
1,0.624148,-1.458649,-0.14817,0.468603,0.321919,-0.341358
1,2.183707,-1.342224,-0.980692,0.452603,-1.462534,1.507342
1,1.510184,-1.139139,-0.436749,0.036941,1.151341,0.011106
1,1.009972,-1.186968,-0.400027,0.681047,-1.455373,-1.27686
1,0.318524,-0.980115,-0.101733,0.719582,0.460718,1.753478
1,2.273575,-0.846985,-0.684839,0.010718,2.198983,-1.769131
1,0.711853,-1.415173,-0.356284,0.895848,-0.886863,0.597554
1,0.662905,-1.237101,-0.166094,-0.019948,0.592254,1.793381
1,0.760645,-1.780231,-0.2772,0.52545,1.279471,0.377074
1,2.959573,-2.123331,-1.011191,0.56574,-1.170763,0.555027
1,0.716309,-0.387222,-0.128778,-0.251017,0.842443,0.248128
1,2.185977,-1.433563,-0.572672,0.106531,0.567776,-1.265462
1,0.55177,-0.799673,-0.133578,0.400638,0.167557,0.086005
1,1.844922,-1.464503,-0.291194,-0.250632,1.140881,1.441497
1,0.479172,-0.570523,-0.243561,-0.062039,-0.164761,0.098268
1,1.402618,-0.959343,-0.264061,0.316859,0.292002,-0.239038
1,1.233344,-1.272299,-0.376782,0.033916,1.279778,-0.992151
1,0.534912,-0.962823,-0.289728,-0.199488,-0.361264,1.284679
1,0.770907,-0.181829,-0.247495,-0.337862,0.990192,-0.263166
1,1.207642,-0.341038,-0.282539,0.268005,1.11212,-0.982382
1,-1.553467,-1.672043,0.887024,1.812291,1.930736,7.162433
